title,price,link
No title,No price,No link
"Lenovo IdeaPad
                                        Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits
                                        Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home
                                        2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN","64,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDUwNDUwOTU0NTQxMDc3OjE3Mzg4NjQ1NzA6c3BfYXRmOjMwMDQ0OTQ0Njk3MDAzMjo6MDo6&url=%2FLenovo-i7-13620H-UHDGraphics-ARCTIC-Grey-83EM00GTIN%2Fdp%2FB0DL5N2TFC%2Fref%3Dsr_1_1_sspa%3Fcrid%3D39AK7IU7KQ02T%26dib%3DeyJ2IjoiMSJ9.Kq6xvSBkUHQcGOUtNjakx1stJc-FOxGMg_wDgGo2ewBDBQ1HhdYCpV7v5SGuPSQhO6ug3iGtdVXt7X32AoXuFa6DpNshpDTbCuxgWhasfAaDUj9JpqGa5_ExN-WVJ6oNYUQPTlYr8OUoWP1x9fYR1hVggGfTPxiT0yGCvr-Vb7istPzUaLwbK8giEcx1lgB200o42imjmE8e2jYslImYfmTUY3_5w-ab7_Fj0_bpnSM.dOfoWp0GjS46Y5ak8sRxXcSPyX42AOrucuUqoJ7vdfE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1738864569%26sprefix%3Dlapto%252Caps%252C278%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/Backlit KB/1 Yr ADP Free/Grey/1.6Kg), 83ER008DIN","52,690",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDUwNDUwOTU0NTQxMDc3OjE3Mzg4NjQ1NzA6c3BfYXRmOjMwMDEwMzQ0MzMzOTUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Warranty-83ER008DIN%2Fdp%2FB0CNVH114V%2Fref%3Dsr_1_2_sspa%3Fcrid%3D39AK7IU7KQ02T%26dib%3DeyJ2IjoiMSJ9.Kq6xvSBkUHQcGOUtNjakx1stJc-FOxGMg_wDgGo2ewBDBQ1HhdYCpV7v5SGuPSQhO6ug3iGtdVXt7X32AoXuFa6DpNshpDTbCuxgWhasfAaDUj9JpqGa5_ExN-WVJ6oNYUQPTlYr8OUoWP1x9fYR1hVggGfTPxiT0yGCvr-Vb7istPzUaLwbK8giEcx1lgB200o42imjmE8e2jYslImYfmTUY3_5w-ab7_Fj0_bpnSM.dOfoWp0GjS46Y5ak8sRxXcSPyX42AOrucuUqoJ7vdfE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1738864569%26sprefix%3Dlapto%252Caps%252C278%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg","38,490",https://amazon.in//Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_7?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.Kq6xvSBkUHQcGOUtNjakx1stJc-FOxGMg_wDgGo2ewBDBQ1HhdYCpV7v5SGuPSQhO6ug3iGtdVXt7X32AoXuFa6DpNshpDTbCuxgWhasfAaDUj9JpqGa5_ExN-WVJ6oNYUQPTlYr8OUoWP1x9fYR1hVggGfTPxiT0yGCvr-Vb7istPzUaLwbK8giEcx1lgB200o42imjmE8e2jYslImYfmTUY3_5w-ab7_Fj0_bpnSM.dOfoWp0GjS46Y5ak8sRxXcSPyX42AOrucuUqoJ7vdfE&dib_tag=se&keywords=laptop&qid=1738864569&sprefix=lapto%2Caps%2C278&sr=8-7
"HP Victus, AMD Ryzen 5 5600H, AMD Radeon RX 6500 Graphics, 8GB DDR4, 512GB SSD, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling (Win 11, Office 21, Blue, 2.37kg) fb0147AX","49,868",https://amazon.in//HP-Graphics-15-6-inch-Backlit-fb0147AX/dp/B0C946F286/ref=sr_1_69?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-69
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Integrated AMD Graphics/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BRIN","33,958",https://amazon.in//Lenovo-IdeaPad-39-62cm-Windows-82R400BGIN/dp/B09MM58Y7Q/ref=sr_1_70?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-70
"Dell Inspiron 3530 Laptop, 13th Generation Intel Core i7-1355U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz Display, Backlit KB, Windows 11 + MSO'21, 15 Month McAfee, Silver, Thin & Light-1.62kg","68,790",https://amazon.in//Dell-Inspiron-3530-Generation-Light-1-62kg/dp/B0DFCM24S3/ref=sr_1_71?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-71
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/DOS) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg","37,490",https://amazon.in//Lenovo-Intel-Core-12th-1235U/dp/B0DJCNMC4C/ref=sr_1_72?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-72
"Lenovo V15 G4 2024 Smart Laptop, AMD Ryzen 5 7520U 15.6 inch FHD Display, AMD Graphics, 8 GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, MS-Office, Dolby Audio, Arctic Grey, 1 Year Warranty","31,980",https://amazon.in//Lenovo-Graphics-LPDDR5-5500-11-MS-Office-Warranty/dp/B08BV4VMH9/ref=sr_1_73?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-73
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg","38,490",https://amazon.in//Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_74?crid=39AK7IU7KQ02T&dib=eyJ2IjoiMSJ9.CTRNy6HGYtjG6iUkOuM_62EYU0pYItIM4dM7ezLxhs92eeQh6gFNkH2ygSch-5vEeEYA0OuLLlO2TVO9umg7esOmOm_hL8zTn-4E2e4_-adcuUfXDp4owskAe_FRJqiWthoOzg_ByEpfKMLD8z_EbDl586soZUOPqlGJN14LT9OuSe-5r9Asg2kfjktlcFoJb_2iWLiCJRFUxZb-pmP6B-83cYyCM5ZqWjAt7VrkzTE.3W1zxB3PikrgEm2ywDXt0FX9q832_ZTKiIzpdwr1oq4&dib_tag=se&keywords=laptop&qid=1738864579&sprefix=lapto%2Caps%2C278&sr=8-74
